PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
545,4263862,2224482,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000066196-01/146464137,,Activator,2.8184,114.595,,86,Complete curve; high efficacy,-5.55,1.4163,0.9999,104.927,-9.6688,1.1,0 0 0 0,102.267,,,,,-4.0697,,,,,31.1328,,,,,,87.0288,,,,102.267,,,QC'd by ChemBridge
546,4263888,2199160,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000063552-01/146433151,,Activator,11.2202,135.403,,43,Partial curve; high efficacy,-4.95,4.5045,0.9999,147.655,12.2522,2.1,0 0 0 0,147.361,,,,,12.7237,,,,,11.2248,,,,,,51.5344,,,,147.361,,,QC'd by DPISMR
547,4263928,973764,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000064455-01/146264102,,Activator,11.2202,213.325,,45,Partial curve; high efficacy,-4.95,2.0937,0.9996,212.705,-0.6204,2.1,0 0 0 0,202.576,,,,,-2.2237,,,,,6.8666,,,,,,83.8812,,,,202.576,,,QC'd by DPISMR
548,4264016,2233483,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100125-01/146518436,,Activator,12.5893,172.631,,44,Partial curve; high efficacy,-4.9,4.095,0.9997,183.004,10.3734,2.1,0 0 0 0,181.552,,,,,8.661,,,,,11.2911,,,,,,49.3683,,,,181.552,,,QC'd by ChemBridge
549,4264091,805276,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000062595-01/146429257,,Activator,10,143.706,,44,Partial curve; high efficacy,-5,2.0437,0.9992,141.817,-1.8885,2.1,0 0 0 0,135.064,,,,,-0.4445,,,,,0.5574,,,,,,65.9731,,,,135.064,,,QC'd by ChemBridge
550,4264141,874111,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000061798-01/146366984,,Activator,11.2202,151.607,,43,Partial curve; high efficacy,-4.95,1.2475,1,139.913,-11.6944,2.1,0 0 0 0,117.772,,,,,-9.2162,,,,,2.5665,,,,,,55.4432,,,,117.772,,,QC'd by DPISMR
551,4264177,2215072,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000064789-01/146553889,,Activator,7.9433,114.993,,43,Partial curve; high efficacy,-5.1,2.2526,0.9988,112.392,-2.6008,2.1,0 0 0 0,111.5,,,,,-0.764,,,,,0,,,,,,62.5537,,,,111.5,,,QC'd by DPISMR
552,4264232,2236013,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100202-01/146323728,,Activator,7.0795,232.012,,48,Partial curve; high efficacy,-5.15,0.9,0.9999,241.057,9.0447,2.1,0 0 0 0,204.98,,,,,24.0864,,,,,61.258,,,,,,137.826,,,,204.98,,,QC'd by DPISMR
553,4264302,2937371,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000088065-01/146514239,,Activator,8.9125,180.532,,45,Partial curve; high efficacy,-5.05,1.2221,0.9999,175.791,-4.7408,2.1,0 0 0 0,155.018,,,,,-1.3446,,,,,18.7998,,,,,,86.5933,,,,155.018,,,QC'd by DPISMR
554,4264354,2931009,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000088343-01/146429179,,Activator,11.2202,146.287,,43,Partial curve; high efficacy,-4.95,4.095,0.9991,146.004,-0.2832,2.1,0 0 0 0,144.845,,,,,-0.8968,,,,,-2.0725,,,,,,47.8217,,,,144.845,,,QC'd by ChemBridge
555,4264364,866268,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000099931-01/146616291,,Activator,5.0119,198.702,,88,Complete curve; high efficacy,-5.3,1.6924,0.9999,207.33,8.6281,1.1,0 0 0 0,203.265,,,,,11.53,,,,,37.7935,,,,,,155.541,,,,203.265,,,QC'd by DPISMR
556,4264386,2815883,Active,92,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000052515-01/146570157,,Activator,2.8184,234.624,,92,Complete curve; high efficacy,-5.55,1.4163,0.9998,221.545,-13.079,1.1,0 0 0 0,218.486,,,,,0.5021,,,,,69.4201,,,,,,183.437,,,,218.486,,,QC'd by ChemBridge
557,4264495,572406,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000062098-01/146366350,,Activator,7.0795,163.346,,45,Partial curve; high efficacy,-5.15,1.2221,0.9998,153.686,-9.6594,2.1,0 0 0 0,139.208,,,,,-5.6355,,,,,17.4246,,,,,,83.9981,,,,139.208,,,QC'd by DPISMR
558,4264605,1262407,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000065423-01/146522407,,Activator,11.2202,255.82,,45,Partial curve; high efficacy,-4.95,0.9,0.9998,238.223,-17.5974,2.1,0 0 0 0,182.967,,,,,-6.0033,,,,,25.6866,,,,,,97.4892,,,,182.967,,,QC'd by DPISMR
559,4264615,946749,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000099605-01/146522162,,Activator,11.2202,116.968,,43,Partial curve; high efficacy,-4.95,4.9549,0.9994,114.446,-2.5215,2.1,0 0 0 0,114.906,,,,,-2.1012,,,,,-1.3954,,,,,,27.6829,,,,114.906,,,QC'd by DPISMR
560,4264753,890595,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000063386-01/146266065,,Activator,10,155.617,,44,Partial curve; high efficacy,-5,4.9549,0.9995,165.045,9.4281,2.1,0 0 0 0,164.715,,,,,7.5813,,,,,11.3745,,,,,,71.2225,,,,164.715,,,QC'd by DPISMR
561,4264841,686289,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000061982-01/146463631,,Activator,8.9125,216.273,,46,Partial curve; high efficacy,-5.05,1.331,0.9999,220.09,3.8169,2.1,0 0 0 0,198.279,,,,,7.4321,,,,,27.1375,,,,,,115.391,,,,198.279,,,QC'd by DPISMR
562,4264902,1249778,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000099967-01/146617774,,Activator,11.2202,119.975,,43,Partial curve; high efficacy,-4.95,4.095,1,134.983,15.0084,2.1,0 0 0 0,134.714,,,,,14.6465,,,,,15.3925,,,,,,52.365,,,,134.714,,,QC'd by DPISMR
563,4264945,2947484,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000096920-01/146572259,,Activator,6.3096,233.632,,48,Partial curve; high efficacy,-5.2,1.4641,0.9985,230.483,-3.1484,2.1,0 0 0 0,213.411,,,,,3.5196,,,,,27.0554,,,,,,143.65,,,,213.411,,,QC'd by ChemBridge
564,4264948,787430,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000062225-01/146326221,,Activator,6.3096,128.916,,84,Complete curve; high efficacy,-5.2,4.095,1,103.059,-25.8566,1.1,0 0 0 0,103.766,,,,,-25.8683,,,,,-25.3182,,,,,,80.4486,,,,103.766,,,QC'd by ChemBridge
565,4265039,682205,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000063808-01/146432995,,Activator,5.6234,230.641,,48,Partial curve; high efficacy,-5.25,0.9,0.9998,212.129,-18.5112,2.1,0 0 0 0,182.242,,,,,-0.2208,,,,,44.5634,,,,,,120.943,,,,182.242,,,QC'd by DPISMR
566,4265064,725158,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000062890-01/146420144,,Activator,7.0795,172.458,,46,Partial curve; high efficacy,-5.15,1.4641,0.9986,174.804,2.3466,2.1,0 0 0 0,161.856,,,,,5.4148,,,,,20.8574,,,,,,108.187,,,,161.856,,,QC'd by DPISMR
567,4265204,2960025,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000064799-01/146513047,,Activator,8.9125,114.836,,43,Partial curve; high efficacy,-5.05,2.3332,0.9993,112.816,-2.02,2.1,0 0 0 0,111.258,,,,,-1.2147,,,,,0.7248,,,,,,55.605,,,,111.258,,,QC'd by DPISMR
568,4265357,2195556,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000099435-01/146369865,,Activator,7.0795,168.442,,45,Partial curve; high efficacy,-5.15,1.4787,0.9999,166.732,-1.7099,2.1,0 0 0 0,156.116,,,,,-0.1229,,,,,19.3639,,,,,,99.4594,,,,156.116,,,QC'd by ChemBridge
569,4265401,1555810,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000061051-01/146373107,,Activator,12.5893,132.646,,43,Partial curve; high efficacy,-4.9,4.5045,0.9999,130.374,-2.2721,2.1,0 0 0 0,130.114,,,,,-3.0027,,,,,-2.3249,,,,,,24.2338,,,,130.114,,,QC'd by DPISMR
570,4265570,2225132,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000065664-01/146373793,,Activator,10,116.814,,43,Partial curve; high efficacy,-5,3.99,0.999,118.585,1.7718,2.1,0 0 0 0,118.349,,,,,0.2297,,,,,4.3132,,,,,,50.1206,,,,118.349,,,QC'd by DPISMR
571,4265724,977283,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000064037-01/146462713,,Activator,8.9125,104.203,,43,Partial curve; high efficacy,-5.05,1.3723,0.9998,95.1814,-9.0216,2.1,0 0 0 0,84.8319,,,,,-8.1065,,,,,1.8565,,,,,,45.1713,,,,84.8319,,,QC'd by ChemBridge
572,4265809,1246434,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000051721-01/146318544,,Activator,5.0119,150.913,,87,Complete curve; high efficacy,-5.3,2.1876,0.9999,168.905,17.9921,1.1,0 0 0 0,167.565,,,,,17.6312,,,,,34.3242,,,,,,136.985,,,,167.565,,,QC'd by DPISMR
573,4265865,972947,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000064817-01/146318228,,Activator,12.5893,164.893,,43,Partial curve; high efficacy,-4.9,1.6436,0.9995,165.862,0.9689,2.1,0 0 0 0,147.827,,,,,-0.428,,,,,9.3978,,,,,,63.5206,,,,147.827,,,QC'd by DPISMR
574,7964884,936609,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000119972-01/146605692,,Activator,3.5481,146.979,,87,Complete curve; high efficacy,-5.45,4.5045,1,141.832,-5.1471,1.1,0 0 0 0,141.549,,,,,-4.8995,,,,,1.5064,,,,,,140.036,,,,141.549,,,QC'd by Chem Div
575,7964966,4348050,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116570-01/146553280,,Activator,10,100.326,,43,Partial curve; high efficacy,-5,4.4495,0.9997,106.892,6.566,2.1,0 0 0 0,106.679,,,,,7.6519,,,,,5.6631,,,,,,48.2008,,,,106.679,,,QC'd by Chem Div
576,7965085,56642826,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116313-01/146552603,,Activator,10,105.641,,43,Partial curve; high efficacy,-5,2.7868,1,102.218,-3.4229,2.1,0 0 0 0,100.806,,,,,-3.2862,,,,,-2.5258,,,,,,44.009,,,,100.806,,,QC'd by Chem Div
577,7965257,857326,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116721-01/146552036,,Activator,11.2202,204.917,,45,Partial curve; high efficacy,-4.95,4.9549,0.9998,206.972,2.0545,2.1,0 0 0 0,207.803,,,,,2.596,,,,,2.3509,,,,,,56.4484,,,,207.803,,,QC'd by Chem Div
578,7965290,5307531,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116364-01/146503245,,Activator,3.9811,179.187,,88,Complete curve; high efficacy,-5.4,1.5386,0.9999,177.481,-1.7064,1.1,0 0 0 0,174,,,,,3.3616,,,,,40.2986,,,,,,137.7,,,,174,,,QC'd by Chem Div
579,7965410,2997361,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116516-01/146554532,,Activator,5.0119,185.21,,48,Partial curve; high efficacy,-5.3,1.21,0.9994,200.68,15.4696,2.1,0 0 0 0,188.964,,,,,26.1264,,,,,58.2137,,,,,,140.694,,,,188.964,,,QC'd by Chem Div
580,7965474,5307641,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116720-01/146504081,,Activator,14.1254,121.132,,42,Partial curve; high efficacy,-4.85,4.095,0.9996,130.012,8.8801,2.1,0 0 0 0,127.463,,,,,9.0614,,,,,9.2013,,,,,,25.6542,,,,127.463,,,QC'd by Chem Div
581,7965564,5113632,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000120136-01/146503822,,Activator,11.2202,119.206,,43,Partial curve; high efficacy,-4.95,2.0437,0.9999,121.46,2.2535,2.1,0 0 0 0,115.018,,,,,2.3434,,,,,5.5742,,,,,,49.5568,,,,115.018,,,QC'd by Chem Div
582,7965821,1367387,Active,93,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000115346-01/146504310,,Activator,3.9811,257.049,,93,Complete curve; high efficacy,-5.4,1.6259,0.9997,281.932,24.8831,1.1,0 0 0 0,279.694,,,,,30.8632,,,,,82.2288,,,,,,226.903,,,,279.694,,,QC'd by Chem Div
583,7966098,3586643,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000115330-01/146552305,,Activator,11.2202,145.38,,43,Partial curve; high efficacy,-4.95,4.5045,0.9992,145.702,0.3213,2.1,0 0 0 0,145.411,,,,,-1.5695,,,,,3.0354,,,,,,42.2184,,,,145.411,,,QC'd by Chem Div
584,7966099,5308020,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116344-01/146502974,,Activator,6.3096,161.853,,45,Partial curve; high efficacy,-5.2,1.2475,0.9997,135.336,-26.5168,2.1,0 0 0 0,122.587,,,,,-22.7027,,,,,3.7818,,,,,,73.1825,,,,122.587,,,QC'd by Chem Div
585,7966332,912352,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000115397-01/146604901,,Activator,3.9811,190.173,,88,Complete curve; high efficacy,-5.4,1.5936,1,180.176,-9.9971,1.1,0 0 0 0,175.61,,,,,-6.06,,,,,32.7844,,,,,,140.673,,,,175.61,,,QC'd by DPISMR
586,7966354,5308177,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116394-01/146502062,,Activator,12.5893,193.24,,44,Partial curve; high efficacy,-4.9,1.6436,0.9997,187.321,-5.919,2.1,0 0 0 0,166.953,,,,,-6.3769,,,,,4.0797,,,,,,65.964,,,,166.953,,,QC'd by Chem Div
587,7966374,5308192,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000118771-01/146504068,,Activator,3.1623,149.684,,87,Complete curve; high efficacy,-5.5,1.9282,0.9999,147.504,-2.1802,1.1,0 0 0 0,145.467,,,,,0.1192,,,,,36.5185,,,,,,131.367,,,,145.467,,,QC'd by Chem Div
588,7966591,5308322,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116393-01/146303316,,Activator,5.0119,228.079,,90,Complete curve; high efficacy,-5.3,2.3031,0.9999,241.635,13.5551,1.1,0 0 0 0,239.717,,,,,13.7977,,,,,33.2556,,,,,,197.957,,,,239.717,,,QC'd by Chem Div
589,7966619,5308338,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116991-01/146501941,,Activator,3.9811,165.13,,47,Partial curve; high efficacy,-5.4,1.031,0.999,154.505,-10.6256,2.1,0 0 0 0,143.06,,,,,1.3846,,,,,42.6701,,,,,,103.207,,,,143.06,,,QC'd by Chem Div
590,7966672,1287952,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000115332-01/146366195,,Activator,11.2202,182.982,,44,Partial curve; high efficacy,-4.95,4.095,0.9986,183.841,0.8585,2.1,0 0 0 0,182.382,,,,,-3.1498,,,,,1.4377,,,,,,61.2553,,,,182.382,,,QC'd by Chem Div
591,7967113,5308633,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116341-01/146502123,,Activator,4.4668,157.69,,87,Complete curve; high efficacy,-5.35,1.7529,0.9997,158.452,0.7625,1.1,0 0 0 0,154.437,,,,,1.9408,,,,,29.613,,,,,,124.593,,,,154.437,,,QC'd by Chem Div
592,7967233,5308698,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116716-01/146551983,,Activator,10,120.801,,43,Partial curve; high efficacy,-5,4.9549,1,118.685,-2.1164,2.1,0 0 0 0,118.448,,,,,-2.2666,,,,,-1.5791,,,,,,46.5365,,,,118.448,,,QC'd by Chem Div
593,7967358,5308779,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116357-01/146503104,,Activator,3.1623,146.434,,87,Complete curve; high efficacy,-5.5,1.8617,0.9996,146.434,0,1.1,0 0 0 0,144.412,,,,,1.9846,,,,,40.4155,,,,,,130.494,,,,144.412,,,QC'd by Chem Div
594,7967699,44601851,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000115847-01/146552723,,Activator,12.5893,188.609,,44,Partial curve; high efficacy,-4.9,4.095,0.9998,215.919,27.3096,2.1,0 0 0 0,214.205,,,,,25.8633,,,,,28.1931,,,,,,69.3856,,,,214.205,,,QC'd by Chem Div
595,7967712,3162313,Active,40,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116525-01/146552020,,Activator,28.1838,149.261,,40,Partial curve; high efficacy,-4.55,3.99,0.9998,167.782,18.5203,2.1,0 0 0 0,149.538,,,,,19.6971,,,,,17.2501,,,,,,20.0143,,,,149.538,,,QC'd by Chem Div
596,7967733,828699,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116217-01/146412667,,Activator,3.9811,132.589,,86,Complete curve; high efficacy,-5.4,4.095,1,137.934,5.345,1.1,0 0 0 0,138.488,,,,,4.8622,,,,,10.9669,,,,,,133.532,,,,138.488,,,QC'd by Chem Div
597,7968413,791564,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000114158-01/146412272,,Activator,11.2202,127.823,,43,Partial curve; high efficacy,-4.95,1.1341,1,125.227,-2.5959,2.1,0 0 0 0,103.837,,,,,0,,,,,11.9797,,,,,,53.9046,,,,103.837,,,QC'd by Chem Div
598,7968501,1088163,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000115319-01/146503090,,Activator,5.0119,208.008,,88,Complete curve; high efficacy,-5.3,1.8579,0.9999,210.038,2.0302,1.1,0 0 0 0,205.92,,,,,2.8983,,,,,30.1359,,,,,,160.065,,,,205.92,,,QC'd by Chem Div
599,7968532,5309459,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000118419-01/146502749,,Activator,2.5119,164.857,,89,Complete curve; high efficacy,-5.6,2.2526,0.999,154.968,-9.8897,1.1,0 0 0 0,151.929,,,,,-8.2414,,,,,45.013,,,,,,149.993,,,,151.929,,,QC'd by Chem Div
600,7968576,5309486,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000119856-01/146552172,,Activator,8.9125,101.697,,43,Partial curve; high efficacy,-5.05,1.01,0.9999,98.01,-3.6873,2.1,0 0 0 0,81.8726,,,,,0,,,,,14.014,,,,,,47.8503,,,,81.8726,,,QC'd by Chem Div
601,7968611,5309500,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000118777-01/146502218,,Activator,3.5481,168.209,,88,Complete curve; high efficacy,-5.45,2.3031,0.9998,168.209,0,1.1,0 0 0 0,166.874,,,,,0.1243,,,,,31.3066,,,,,,152.393,,,,166.874,,,QC'd by Chem Div
602,7969307,5309890,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116949-01/146302780,,Activator,6.3096,174.506,,46,Partial curve; high efficacy,-5.2,1.4787,0.9996,174.506,0,2.1,0 0 0 0,167.152,,,,,3.8547,,,,,23.5543,,,,,,109.671,,,,167.152,,,QC'd by Chem Div
603,7969329,2200936,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000115323-01/146463486,,Activator,10,127.496,,43,Partial curve; high efficacy,-5,1.2475,0.9998,116.963,-10.5324,2.1,0 0 0 0,99.9686,,,,,-8.3258,,,,,2.7561,,,,,,50.7704,,,,99.9686,,,QC'd by Chem Div
604,7969332,891614,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000114807-01/146502687,,Activator,2.5119,135.084,,87,Complete curve; high efficacy,-5.6,2.7202,0.9995,125.864,-9.2198,1.1,0 0 0 0,125.613,,,,,-7.1301,,,,,29.4907,,,,,,123.114,,,,125.613,,,QC'd by Chem Div
605,7969406,6603299,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000120458-01/146303226,,Activator,10,135.951,,43,Partial curve; high efficacy,-5,4.9549,0.9999,139.371,3.4201,2.1,0 0 0 0,139.931,,,,,3.127,,,,,3.8454,,,,,,57.4919,,,,139.931,,,QC'd by Chem Div
606,7969423,17253161,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000116316-01/146502483,,Activator,5.6234,110.504,,84,Complete curve; high efficacy,-5.25,2.9523,0.9987,115.037,4.533,1.1,0 0 0 0,115.499,,,,,2.1746,,,,,10.8156,,,,,,92.9731,,,,115.499,,,QC'd by Chem Div
607,7969460,3604857,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000101657-01/146260077,,Activator,8.9125,107.988,,43,Partial curve; high efficacy,-5.05,2.2526,0.9997,106.941,-1.0472,2.1,0 0 0 0,104.844,,,,,-0.434,,,,,2.2844,,,,,,53.7681,,,,104.844,,,QC'd by Life Chemicals
608,7969623,2155060,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000101233-01/146605930,,Activator,12.5893,186.319,,44,Partial curve; high efficacy,-4.9,1.2876,1,194.06,7.7416,2.1,0 0 0 0,164.18,,,,,9.3481,,,,,22.7696,,,,,,82.5642,,,,164.18,,,QC'd by Life Chemicals
609,7969725,1083209,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000103382-01/146503922,,Activator,2.5119,112,,84,Complete curve; high efficacy,-5.6,2.4064,0.9989,75.6185,-36.3817,1.1,0 0 0 0,73.4987,,,,,-35.3049,,,,,-0.0814,,,,,,73.2572,,,,73.4987,,,QC'd by Life Chemicals
610,7969845,2155027,Active,52,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000101195-01/146503834,,Activator,4.4668,291.748,,52,Partial curve; high efficacy,-5.35,1.4487,0.9995,280.175,-11.5723,2.1,0 0 0 0,274.682,,,,,-2.7088,,,,,50.8393,,,,,,202.324,,,,274.682,,,QC'd by Life Chemicals
611,7969972,5310099,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000102924-01/146605345,,Activator,4.4668,102.311,,87,Complete curve; high efficacy,-5.35,3.6772,0.9995,168.998,66.6872,1.1,0 0 0 0,169.677,,,,,65.4783,,,,,72.0936,,,,,,161.595,,,,169.677,,,QC'd by Life Chemicals
612,7970044,866523,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100852-01/146503495,,Activator,2.5119,182.967,,89,Complete curve; high efficacy,-5.6,1.9673,0.9991,167.839,-15.1278,1.1,0 0 0 0,164.548,,,,,-11.8714,,,,,49.3611,,,,,,158.213,,,,164.548,,,QC'd by Life Chemicals
613,7970142,2939098,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100849-01/146605714,,Activator,5.0119,117.25,,85,Complete curve; high efficacy,-5.3,2.1876,0.9999,133.546,16.2965,1.1,0 0 0 0,133.28,,,,,16.8761,,,,,27.8288,,,,,,109.023,,,,133.28,,,QC'd by Life Chemicals
614,7970204,775360,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100577-01/146605937,,Activator,3.5481,178.692,,88,Complete curve; high efficacy,-5.45,1.7529,0.9999,174.835,-3.8573,1.1,0 0 0 0,173.447,,,,,-0.3183,,,,,39.4713,,,,,,145.519,,,,173.447,,,QC'd by Life Chemicals
615,7970429,5106913,Active,93,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000101686-01/146260260,,Activator,2.5119,221.476,,93,Complete curve; high efficacy,-5.6,1.1,1,234.696,13.2207,1.1,0 0 0 0,226.104,,,,,37.2372,,,,,104.634,,,,,,192.596,,,,226.104,,,QC'd by Life Chemicals
616,7970581,849083,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100678-01/146412511,,Activator,6.3096,149.494,,46,Partial curve; high efficacy,-5.2,1.3443,1,169.977,20.4825,2.1,0 0 0 0,160.053,,,,,23.5034,,,,,44.158,,,,,,114.201,,,,160.053,,,QC'd by Life Chemicals
617,7970648,5310269,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000102148-01/146259441,,Activator,7.0795,158.597,,45,Partial curve; high efficacy,-5.15,1.4787,0.9998,144.961,-13.6357,2.1,0 0 0 0,134.224,,,,,-11.9722,,,,,4.8062,,,,,,81.5621,,,,134.224,,,QC'd by Life Chemicals
618,7970770,829856,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000103461-01/146503373,,Activator,4.4668,178.621,,47,Partial curve; high efficacy,-5.35,1.6436,0.9996,169.139,-9.4821,2.1,0 0 0 0,166.804,,,,,-6.4579,,,,,24.8542,,,,,,125.109,,,,166.804,,,QC'd by Life Chemicals
619,7970773,2940041,Active,97,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100864-01/146504297,,Activator,3.1623,325.651,,97,Complete curve; high efficacy,-5.5,1.7885,1,333.577,7.9267,1.1,0 0 0 0,330.93,,,,,13.8605,,,,,97.6297,,,,,,291.442,,,,330.93,,,QC'd by Life Chemicals
620,7970791,3529029,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100932-01/146302706,,Activator,11.2202,198.157,,44,Partial curve; high efficacy,-4.95,4.9549,0.9997,197.042,-1.1153,2.1,0 0 0 0,196.649,,,,,0.758,,,,,-2.5897,,,,,,54.1295,,,,196.649,,,QC'd by Life Chemicals
621,7970975,2155038,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000101207-01/146605167,,Activator,10,134.984,,43,Partial curve; high efficacy,-5,3.9295,0.9996,133.372,-1.6117,2.1,0 0 0 0,133.106,,,,,-0.202,,,,,-3.045,,,,,,55.8783,,,,133.106,,,QC'd by Life Chemicals
